text_a	text_b	damsl_labels	labels
Yeah and maybe since two of these little white ones equals up to  one of these	or its one fifth oh I mean one sixth the reds	sd	4.0
or its one fifth oh I mean one sixth the reds	Uh hmm	aa	0.0
Uh hmm	Yeah	b	0.0
Yeah	Situation 5 is  This test was very difficult for most people	sd	0.0
Situation 5 is  This test was very difficult for most people	Our group felt that it was pretty good match because when it says its most difficult and then we checked it the highest score is mostly in the lowest score while little bit to no people got the highest score of 90 or 100 percent	sd	4.0
Our group felt that it was pretty good match because when it says its most difficult and then we checked it the highest score is mostly in the lowest score while little bit to no people got the highest score of 90 or 100 percent	According to me its approximately 42 people got a 20 to 30 percent score	sd	3.0
According to me its approximately 42 people got a 20 to 30 percent score	Some people got low scores but most people but some people could do everything	sd	3.0
Some people got low scores but most people but some people could do everything	Everything	sd	0.0
Everything	Uh like like some people got like low scores and like there was like some people got like everything right	sd	3.0
Uh like like some people got like low scores and like there was like some people got like everything right	Like one or two	sd	3.0
Like one or two	What I was thinking that it doesnt work because its little to no people not because some people might be like more than because its real   its more real to have 100 percent on histogram F while the lowest scores from 20 to 30 theres a bunch of people that has a low score	sd	4.0
What I was thinking that it doesnt work because its little to no people not because some people might be like more than because its real   its more real to have 100 percent on histogram F while the lowest scores from 20 to 30 theres a bunch of people that has a low score	I think that	sv	0.0
I think that	I think that the situation you gave fits more to histogram A because um histogram A shows no people getting scores of 70 to 80 or higher and so that means that everybody got a very low sco or a low score whereas in um histogram F a few people got a score that was 70 to 80 80 to 90 90 to 100	sd	4.0
I think that the situation you gave fits more to histogram A because um histogram A shows no people getting scores of 70 to 80 or higher and so that means that everybody got a very low sco or a low score whereas in um histogram F a few people got a score that was 70 to 80 80 to 90 90 to 100	Yes	b	0.0
If youre a black card Id like for you to share first	12 so yeah okay	b	3.0
12 so yeah okay	This ones wrong and I think	sd	3.0
This ones wrong and I think	and the rest make sense	sd	3.0
and the rest make sense	this ones wrong but these two make sense	sd	3.0
this ones wrong but these two make sense	So then does that make sense	sd	3.0
So then does that make sense	Because 18 18 18 18 18	sd	4.0
Because 18 18 18 18 18	And this one makes sense because it says 3 dollars per month so then thered be 369121518 21 24	sd	4.0
And this one makes sense because it says 3 dollars per month so then thered be 369121518 21 24	Then the Online Flix is wrong because its supposed to be 12	sd	4.0
Then the Online Flix is wrong because its supposed to be 12	Yeah its supposed to be 12 plus 1 for 1 rental	sd	4.0
Yeah its supposed to be 12 plus 1 for 1 rental	So 12 13 14 15 16	sd	0.0
So 12 13 14 15 16	And then right here it says 12 25 38	sd	4.0
Lets start with Kyle	I think it does make mathematical sense because with 12 if you add 13 to that its 25 and if you add 14 to 25 its 38 and 38 plus 15 is 51 and so on	sd	4.0
Um Debra	It does well it does make mathematical sense but it doesnt follow the plan	sd	3.0
So could you tell me which one does make mathematical sense and does follow the plan and which one or ones dont follow	Movie Busters and Mail Flix follow the plan and Online Flix doesnt	sd	3.0
Would you like to add to that Victoria	Um actually theres a problem with it  cause it says number of movies zero	sd	4.0
Um actually theres a problem with it  cause it says number of movies zero	And it says Online Flix and Mail Flix 18 and 12	sd	4.0
And it says Online Flix and Mail Flix 18 and 12	But youre really not paying for anything right now so why should you pay that much now without without any movies right now	sd	4.0
Or about 0	About the 0	sd	3.0
Okay do you want to talk about 0 then	Yeah	b	0.0
Yeah	I think that it does make sense because the 12 the Online Flix you have to pay 12 per month and so that would be you would havent rent no movies but you still have to pay for the month on each one	sd	4.0
Okay so if we rented 0 movies from Online Flix youre saying we would still have to pay the 12	Yeah	b	0.0
Okay even though I dont have anything	Yeah	b	0.0
Jocelyn	Um it doesnt really make sense because like Movie Busters see how all the way down it adds 3	sd	4.0
Uh huh	Well on Online Flix when we were having our partner talking we were looking at the 0 how it added 3 and how 18 added nothing it stayed	sd	4.0
Well on Online Flix when we were having our partner talking we were looking at the 0 how it added 3 and how 18 added nothing it stayed	Well 12 plus 12 isnt 25	sd	4.0
Well 12 plus 12 isnt 25	And so on	sd	4.0
Someone want to add to this conversation	Well like for Online Flix for each movie like 13 and 14 and so on and so on like Online Flix it says uh those like other numbers	sd	4.0
Well like for Online Flix for each movie like 13 and 14 and so on and so on like Online Flix it says uh those like other numbers	but if you take 13 and add it to 12 you get 25	sd	4.0
but if you take 13 and add it to 12 you get 25	And then from 25 if you add like 13 more dont you get 38	sd	4.0
Yes	And it keeps going	sd	3.0
So then were adding by what here Hailey	13	b	3.0
Danielle	12 plus 12 equals 24 but if you buy one movie it equals 25	sd	4.0
So the two flat fees of 12 plus the 1 makes the 25	Yes	b	0.0
So is there would anyone else like to share about whether or not it makes mathematical sense	I think it does make mathematical sense because they all match the plan	sd	4.0
Amir	I think it does make mathematical sense but I think theres something that I dont see really correctly	sd	4.0
I think it does make mathematical sense but I think theres something that I dont see really correctly	So 12 plus 12 equals 24	sd	4.0
So 12 plus 12 equals 24	But why are we adding 1 to it	sd	2.0
Could someone answer Amirs question	Because you pay 1 per movie	sd	4.0
Go ahead and talk to your shoulder partner please for a quick moment	Ya vi que este no no esta  bien	sd	3.0
Ya vi que este no no esta  bien	No esta  bien	sd	3.0
No esta  bien	Porque este esta  cobrando mas que tiene que cobrar	sd	4.0
Porque este esta  cobrando mas que tiene que cobrar	Si no fueran aqui fueron 24	sd	4.0
Si no fueran aqui fueron 24	Oh si	b	1.0
Katie	Because its showing you that with with On with Online Flix and Mail Flix you still have to pay the monthly fee even though youre not buying any movies	sd	4.0
Could I have someone restate what Katie just shared	Like even though like it says for either one of them that you have to pay a fee and youre still paying it but on Movie Busters if you dont get anything youre not gonna have a fee to pay	sd	4.0
Okay	So it goes by what you rent	sd	3.0
How would you help Student A make sense of it	You would get I think I would get rid of the 0	sd	4.0
You would get I think I would get rid of the 0	Cause its kind of confusing	sd	4.0
Cause its kind of confusing	And then start off with 13	sd	4.0
And then start off with 13	Instead of 12	sd	4.0
Instead of 12	So they dont think that 12 plus 12 is 24	sv	4.0
So they dont think that 12 plus 12 is 24	So I would get rid of the 0	sd	4.0
What else could we do what else could a person suggest to Student A to help them with their table	You could tell them that you dont have to pay the first fee for every rental you just have to pay 1	sd	3.0
Okay so if you were to help them figure out that this was not 25 what would you tell them	Uh that you dont pay the flat fee for every rental you just pay 1	sd	3.0
So what would it cost for 1 movie from Online Flix	13	b	3.0
And how did you get your 13	Because 12 plus 1 is 13	sd	4.0
What do you think	Which red rods	sd	0.0
Which red rods	These little ones	sd	3.0
What do you think	No	b	0.0
No	Look	sd	0.0
Look	Nope	sd	0.0
Nope	You d have to fit more here	sd	3.0
You d have to fit more here	There is enough to fit another light  green in here	sd	3.0
Can you speak nice and loud Danielle	Put the two red ones next to the yellow one	sd	3.0
Put the two red ones next to the yellow one	And there s more space	sd	3.0
Okay someone told me that the  purple rod	This one	sd	0.0
Is half as long as the black rod	No	b	0.0
What do you think	No	b	1.0
No	Nope	sd	1.0
The black rod	Oh the black rod	sd	0.0
Oh the black rod	It would take another light green to make a whole and that s not  half	sd	4.0
It would take another light green to make a whole and that s not  half	That is not as long as the black it would take another light green  one	sd	3.0
That is not as long as the black it would take another light green  one	Oh	b	0.0
What do you think	No	b	0.0
David doesn t believe it why not David	Because if you put the two on top	sd	3.0
Nice and loud David	Cause if you put the two purple if you put the two purples on top  of each other they ll be taller than the black	sd	4.0
What do you think	Yep	b	1.0
Yep	Yep	b	1.0
Yep	Cause two of these would make	sd	4.0
Discuss it with your partner	Yeah I think so	sd	0.0
Yeah I think so	Umm cause if you did it like this	sd	3.0
Someone told me Jackie	Yeah	b	0.0
That s lovely thank you  Jackie	One third	sd	3.0
One third	Because it would take three of the red ones to make um one of  the green ones	sd	4.0
Because it would take three of the red ones to make um one of  the green ones	Oh I can convince you that it s possible	sd	0.0
Oh I can convince you that it s possible	It s possible because there s white and two whites equal one red	sd	4.0
It s possible because there s white and two whites equal one red	Yeah	b	0.0
Yeah	No	b	0.0
No	Not now	sd	0.0
Not now	Not if the dark green is one	sd	4.0
Not if the dark green is one	Because if youre comparing the red to  dark green it cant be one	sd	4.0
Because if youre comparing the red to  dark green it cant be one	But if youre comparing the red to  something else it can be a one it can be a whole	sd	4.0
But if youre comparing the red to  something else it can be a one it can be a whole	But if you are  comparing it to something bigger though	sd	0.0
But if you are  comparing it to something bigger though	Well red can t be a whole red can t be one because the green is  bigger and it takes three of the reds to make one green	sd	4.0
Well red can t be a whole red can t be one because the green is  bigger and it takes three of the reds to make one green	Three wholes	sd	3.0
Three wholes	Can t give it a name because it can t be put into into two	sd	3.0
Can t give it a name because it can t be put into into two	Because  look	sd	0.0
Because  look	But the dark green is bigger then that	sd	3.0
But the dark green is bigger then that	Three wh three wholes	sd	3.0
Three wh three wholes	Because if this is a one	sd	3.0
Because if this is a one	It would be three wholes	sd	4.0
It would be three wholes	Because if this is a one	sd	4.0
Because if this is a one	It takes three to figure this out	sd	3.0
It takes three to figure this out	And if all the reds are one	sd	3.0
And if all the reds are one	And there are three that ll be three wholes	sd	3.0
And there are three that ll be three wholes	Umm	sd	0.0
Umm	Umm yes I guess so	sd	0.0
Umm yes I guess so	Three wholes	sd	3.0
Three wholes	Yeah	b	0.0
Yeah	Three wholes	sd	3.0
Three wholes	Three wholes	sd	3.0
Three wholes	I know	aa	0.0
I know	I know why	b	0.0
I know why	Okay because the the	sd	0.0
Okay because the the	Okay if the red one is considered one  then the green one is a lot bigger	sd	4.0
Okay if the red one is considered one  then the green one is a lot bigger	So it would have to  be it would take three whole ones to make another green so it  should be considered three wholes	sd	4.0
So it would have to  be it would take three whole ones to make another green so it  should be considered three wholes	Well I think well if you if you say that this would be one	sd	4.0
Well I think well if you if you say that this would be one	This is one and it takes three  of the one the one wholes to equal up one of these	sd	4.0
This is one and it takes three  of the one the one wholes to equal up one of these	And it that s one whole umm one  whole plus one whole plus one whole would equal three wholes	sd	4.0
And it that s one whole umm one  whole plus one whole plus one whole would equal three wholes	So  the green would have to be three wholes	sd	4.0
So  the green would have to be three wholes	Well I thought the same thing because the dark green wait	sd	4.0
Well I thought the same thing because the dark green wait	If red  is one that would be one whole	sd	4.0
If red  is one that would be one whole	Then the green would have to be  ah two more wholes so that would be three wholes	sd	4.0
Then the green would have to be  ah two more wholes so that would be three wholes	Fourths	aa	3.0
Fourths	Fourths	aa	3.0
Fourths	Well I put the four blocks up to the brown	sd	3.0
Well I put the four blocks up to the brown	Cause this is one  and if you line them all up  like that and you add them all up it would be four wholes	sd	4.0
Cause this is one  and if you line them all up  like that and you add them all up it would be four wholes	The red	sd	3.0
The red	You would take a white rod and stick it right on the end of a red  one	sd	3.0
Make up a problem	Two yellows	sd	3.0
Just one problem you and your partner make together	No let s make it harder	sd	0.0
See if you can trick me or trick Amy	Yeah look at this	sd	0.0
And if if if you and your  partner may have made up or your partners have made a problem  when you think you have one be careful how you re gonna ask it  practice how you re gonna ask the problem and then raise your  hand	No that s one fifth	sd	3.0
No that s one fifth	I know	aa	0.0
I know	Oh yeah	b	0.0
Oh yeah	We re out of reds	sd	0.0
We re out of reds	We re out of reds	sd	0.0
We re out of reds	Oh well	ba	0.0
Try to get a hard one and try to stump us	Yes I got it	sd	0.0
Yes I got it	No those won t make it	sd	1.0
No those won t make it	What makes thirds	sd	2.0
What makes thirds	Thirds thirds out of a thirds out of this	sd	1.0
Thirds thirds out of a thirds out of this	Probably the greens	sd	3.0
Probably the greens	Light green	sd	1.0
Light green	Light green would make thirds out of the orange	sd	4.0
Light green would make thirds out of the orange	Yeah	b	1.0
Yeah	No it wouldn t	sd	1.0
No it wouldn t	No it doesn t	sd	1.0
No it doesn t	Try it	sd	0.0
Try it	Then what does	sd	2.0
Then what does	I know what makes thirds	sd	0.0
I know what makes thirds	What	ba	2.0
What	There s got to be one	sd	0.0
Oh this is an interesting one	Which one makes thirds	sd	2.0
Which one makes thirds	What makes	sd	0.0
Okay good problem	No but what makes it	sd	2.0
No but what makes it	Nothing can divide twelve into thirds except	sd	3.0
Nothing can divide twelve into thirds except	Red	sd	1.0
Red	No	b	1.0
No	Two  four six eight ten	sd	4.0
Two  four six eight ten	Ten divided into thirds	sd	4.0
Ten divided into thirds	No ten can t be divided  into thirds	sd	4.0
No ten can t be divided  into thirds	But nine can	sd	1.0
But nine can	Nine can but there is no nine rod	sd	1.0
Nine can but there is no nine rod	Oh yeah there is	aa	0.0
Oh yeah there is	Eleven this is twelve though	sd	3.0
Eleven this is twelve though	No it isn t look	sd	1.0
No it isn t look	The orange rod is ten	sd	4.0
The orange rod is ten	So that s ten this must be nine	sd	4.0
So that s ten this must be nine	And this divided into thirds must be	sd	3.0
And this divided into thirds must be	It takes green	sd	3.0
It takes green	Light green	sd	1.0
Light green	It takes green to divided the orange into thirds	sd	4.0
It takes green to divided the orange into thirds	Blue	sd	1.0
Blue	No we are doing this one	sd	0.0
No we are doing this one	I m doing this one the one I made up	sd	0.0
I m doing this one the one I made up	I m doing this one	sd	0.0
I m doing this one	Yeah	b	0.0
Im ready to hear some questions because you can maybe  keep thinking of more	I got one	sd	3.0
Are you all ready to listen to the questions	Oh mine is hard	sd	0.0
And hopefully well get around	No one will get mine	sd	0.0
