text_a	text_b	labels
Right	Yeah mmm hmm	0.0
Would you expect lets say in Audras model which is a different  model that her fish was smaller than the people and smaller than the  boat	Youd have bigger people bigger boat and a bigger fish	3.0
But should those relationships hold	Yeah	0.0
Yeah	Yes	0.0
Yeah is that right	Yeah	0.0
Or if we had sort of a medium size model like Marks and he were  trying to make these fit would you expect the fish to be smaller than  the people than the boat	Yeah	0.0
So in each of your models would have those relationships holding  right	Yeah	0.0
But they wouldnt all be built the same way and they wouldnt all be  the same size	So it d be its standard that the fish would be smaller than the boat  and the people except the fish would be different sized and the  people different sized and the boat different sized	4.0
Is that like what youre doing when you make models to  compare fractions	Yeah	0.0
Meredith	Well if you have the same question asked and you do it right then  youre going to wind up with the same answer and some of the  models could be bigger and some of them could be smaller	4.0
Michael do you want to add to that	Well its sort of like um you cant the fish has to be smaller than the  people and the people have to be smaller than the boat cause the  people have to go in the boat and the people have to be able to pull  the fish out of the water and if it was bigger than it they might have a  little trouble getting it out	4.0
Well its sort of like um you cant the fish has to be smaller than the  people and the people have to be smaller than the boat cause the  people have to go in the boat and the people have to be able to pull  the fish out of the water and if it was bigger than it they might have a  little trouble getting it out	So um so then um its sort of  like so that just helps us understand what we re talking about with  the Cuisenaire rods when we are using different sized boxes to make  different sized um halves and quarters um but they re basically  you can call it the same thing as you would then just the small one  with the small one if you call the box a whole and the boat a half it  would equal a quarter	4.0
So um so then um its sort of  like so that just helps us understand what we re talking about with  the Cuisenaire rods when we are using different sized boxes to make  different sized um halves and quarters um but they re basically  you can call it the same thing as you would then just the small one  with the small one if you call the box a whole and the boat a half it  would equal a quarter	You could still do that in Audras model or  any box	4.0
Oh it was said already	Yes	0.0
Why don t you work with your partner and see what you can  do	Try the purples	0.0
Try the purples	Get three purples	0.0
Get three purples	It doesn t work try the greens	0.0
It doesn t work try the greens	What was it	0.0
What was it	Two thirds	2.0
Two thirds	It would be like brown or something like that	3.0
It would be like brown or something like that	Ok	0.0
Ok	We re not doing the one third we re doing two thirds	0.0
We re not doing the one third we re doing two thirds	That is one  third	0.0
That is one  third	First we ve got to find out what a third of it is	3.0
First we ve got to find out what a third of it is	What s a third of an  orange	2.0
What s a third of an  orange	One third	0.0
One third	What s third of an orange	2.0
What s third of an orange	Let s start a different model	0.0
Let s start a different model	The green	0.0
The green	The green half of it is the  light green	0.0
The green half of it is the  light green	Alright yeah I was thinking of that way before	0.0
Alright yeah I was thinking of that way before	And you can take the take the red and the light green and put it up  to it  it s she asked is one half bigger than  what did she ask	0.0
And you can take the take the red and the light green and put it up  to it  it s she asked is one half bigger than  what did she ask	What did she ask	0.0
What did she ask	She asked which is bigger one half or two thirds	0.0
She asked which is bigger one half or two thirds	One half or two thirds	0.0
One half or two thirds	Now take six of the ones	3.0
Now take six of the ones	Yeah I know and put  em up to there and that would be one sixth	3.0
Yeah I know and put  em up to there and that would be one sixth	Hey wait a minute hey wait maybe that s it yeah it s bigger by one  sixth	3.0
Which is bigger	One half	3.0
One half	I think one half is	1.0
Yes David and Meredith	What do you have	1.0
What do you have	Well	0.0
Well	we think	0.0
we think	two thirds	3.0
two thirds	is bigger than	1.0
You both agree	one half by one sixth	3.0
one half by one sixth	Cause if you put six ones up to a whole	4.0
Cause if you put six ones up to a whole	dark green	0.0
dark green	If you put it up to a whole	3.0
I m sorry what s the number name for dark green	One	3.0
Ok	And you put six ones up to the dark green	3.0
What are you calling these	One sixth	3.0
One sixth	And then these this would be	0.0
And then these this would be	We re calling them each sixths	3.0
Ok	So there s six sixths	3.0
So there s six sixths	This would be one third and this is one half of  dark green and then it would be bigger by one sixth because	4.0
Do you both agree with that	Yeah mm hmm	1.0
And see if you can make me  if it works for  other models because some students don t believe that it works for  other models and I think you two believe that it works for other  models	Mmm hmm yeah	0.0
That if it works if you really believe it  that if it works for one it works for others and then write this up let  me get you some paper	Seven nine ten I need them	3.0
Seven nine ten I need them	Go get another box	0.0
Ok I see you had your hands up  over here	Yeah	0.0
Let me come around and see what you re doing	We found two answers	0.0
We found two answers	Well I have three	1.0
Here which one do you want to tell me about	That one	0.0
Yeah thats an interesting looking one tell me about it	Now if you call this rod one	3.0
The orange and red together	Yeah and you take the two dark green rods those are the halves	4.0
Yeah and you take the two dark green rods those are the halves	And you take two  thirds and put it up to it and you take two sixths its bigger than  two sixths	4.0
And you take two  thirds and put it up to it and you take two sixths its bigger than  two sixths	And  in this one it you take this	4.0
Can we go back to that one again	I mean its bigger than one tenth I mean twelfth one twelfth one  twelfth	4.0
I m confused about  the little white rods I am following you right up to that point	If you put the white rods up to here theres twelve of them and  then you call them twelfths because there are twelve of them	4.0
All right okay	And then you take the two thirds and you take two twelfths and  then you put it up to the thirds and it is bigger by  two tens two twelfths	4.0
By two twelfths okay	If you use this model	3.0
Uh hmm	And if you use this model	3.0
Uh hmm	And you call these sixths and you put  this one up to it and it is bigger than one  sixth	4.0
Okay so here it was bigger by two twelfths and here it was bigger  by one sixth	Yeah	0.0
Could we call the difference between the two  thirds and the one half in this model another number name besides two twelfths	Um yeah well maybe	0.0
You said two of those little white ones were two twelfths right	Yeah and maybe since two of these little white ones equals up to  one of these	4.0
Yeah and maybe since two of these little white ones equals up to  one of these	or its one fifth oh I mean one sixth the reds	4.0
Oh thats interesting thats kind of interesting then so if you then  used the reds to describe the difference you could call this one sixth  the difference	Uh hmm	0.0
one of the whites you say is one sixth	Yeah	0.0
Why don t you work with your partner and see if you can  figure it out	Well we ve got we ve got that whole this is the whole we have the  three thirds and we then the half	3.0
And what we supposed to figure out after we did that	Which is bigger a half or two thirds	2.0
Is it still the same or does it change when your  model changes	Two thirds is still bigger	3.0
How  many do you think	Eighteen	3.0
So how much larger	It s bigger	3.0
It s bigger	One eighteenth	3.0
My goodness tell me help me remember what it was over there	It was bigger by one one sixth	3.0
This is  different from the other one or the same	It s different in a way and it s the same in a way	4.0
How s it different and how s it the same	Well it s the same because the half is smaller and it s different  because um this one it only ta the little box are only um two three  four there s only six of them and here s there s eighteen and this  the thirds are bigger by three eighteenths	4.0
You mean yeah the two thirds are bigger by three eighteenths	and the two thirds over here is bigger by one sixth	4.0
I agree with you  you re saying that two thirds is still bigger but it it bigger by a  different thing	Well	0.0
Ok Danielle what do you think about this time	Well um two thirds	3.0
Can you build a two thirds and a one half for  him separate so we can then compare	Here s the two thirds and here s the half	3.0
What s the difference	and it s bigger by two twelfths	4.0
and it s bigger by two twelfths	It s  um it s bigger by two twelfths	4.0
How are the answers I don t understand what do you think  about this	One two three	0.0
Over here it was how much	This one was bigger by three eighteenths	4.0
And this one	Was bigger by  how much	2.0
Was bigger by  how much	Two twelfths	3.0
Two twelfths	One two three four five six seven eight nine ten eleven  twelve	0.0
And your original one was	It was bigger by one sixth	4.0
Oh so what do you think	I think they re all different but then all the same	4.0
I think they re all different but then all the same	Cause they re the  same because the thirds are always bigger than the half	4.0
The two thirds are always bigger than the half	And um and they re different because these are all the whites	4.0
And um and they re different because these are all the whites	they re different sizes	1.0
they re different sizes	They re all different like one two uh three they re different	4.0
They re all different like one two uh three they re different	So  they re different like that	4.0
Or this difference  here	You could use a light green	0.0
What would that be	That would be one That would be one sixth	3.0
And what did you say it was over here with the little one	Um that s one sixth	3.0
So if you used the light green	It could be one sixth	3.0
And if you used the whites	It would be three eighteenths	3.0
What about for this one	What problem	0.0
Uh Gregory I want you to watch and see if you agree with  what Danielle is doing here	And then  that would be one sixth too	3.0
Mmm over each of  em	That would be one sixth that would be one sixth and that one would  be one sixth	3.0
But you have had two two different names for the answer if you did  it this way it was	It was two twelfths	3.0
And and uh Gregory for this one over here where she had the  three what was the name for that one	Three eighteenths	3.0
Alright so tell me which is bigger	Two thirds	3.0
Again	Two thirds	3.0
How many of you are  convinced you know how much bigger and no one can persuade you  otherwise that two thirds is not only bigger than a half but it is how  much bigger	One sixth	3.0
How many of you made a second  model	Oh Oh	0.0
Amy	Ah the orange and red	3.0
Did you get to have two thirds bigger than a  half	No	0.0
You didn t  Michael	No they cant do that	1.0
No they cant do that	Because um the the two  thirds are bigger than the half by a red	4.0
Because um the the two  thirds are bigger than the half by a red	So they cant use those whites  to show it	4.0
Oh but youre saying that youre saying that two thirds whats a  third	A third is the purple	3.0
Just tell us	Um two thirds is two purples	3.0
And what did you get to be one half	Uh dark green	3.0
And you got two thirds to be bigger  than one half	Yes	0.0
By how much	By one sixth	3.0
By one sixth	Or or two twelfths	1.0
Or or two twelfths	No	1.0
What color rod	Red	3.0
And what did  you get Meredith	Two twelfths	3.0
What do you think about that	Well in a way	1.0
Well in a way	No	1.0
No	Uh uh	1.0
Well she showed its bigger by the two whites she shows two  whites bigger	Yeah but then she would have to call the two whites together one  sixth	1.0
Yeah but then she would have to call the two whites together one  sixth	Yeah exactly	1.0
Yeah exactly	Shes calling the whites one white one sixth	1.0
Shes calling the whites one white one sixth	Yeah she said	1.0
Shes calling one white one sixth	No Im not Im calling it one twelfth	3.0
Shes calling one white one twelfth	Yeah but see just the whites together	0.0
Yeah but see just the whites together	Thatd be right it would be  two twelfths	3.0
Thatd be right it would be  two twelfths	But you have to combine them	3.0
But you have to combine them	You cant call them  you can call them separately but you could also call them combined  and if you combine them it would be uh one sixth	4.0
Ok but she didnt combine them and shes calling the two whites  together again Meredith	One twelfth two twelfths	3.0
And two white rods would be	Two twelfths	3.0
And one red would be	One sixth	3.0
So so what is Meredith saying here	Theres two answers	3.0
Are there two answers	No theyre the same answer	1.0
No theyre the same answer	No theyre the exact same thing except she she took the red and  divided it into half she divided it into halves into half and called  and called each half one twelfth	4.0
No theyre the exact same thing except she she took the red and  divided it into half she divided it into halves into half and called  and called each half one twelfth	Theyre the exact same answer  except theyre just in two parts	3.0
Well give it the number name what did you say	One sixth	3.0
And two whites can I write two  w   for  two whites	Yeah	0.0
And youre calling two whites	Two twelfths	3.0
But what Erik just told me right  is something about red and white	Yeah	0.0
Yeah	A red one red equals one red rod up here one red equals two  of the white ones	4.0
Do you all agree to that	Yeah	1.0
Yeah	Yes	1.0
Yes	And since shes calling a white rod one twelfth and the other white  rod one twelfth and the red rod is really one sixth	4.0
And since shes calling a white rod one twelfth and the other white  rod one twelfth and the red rod is really one sixth	But when she  calls them two twelfths the two twelfths are actually just two white  rods put together to equal a red so it should be really its really one  sixth	4.0
But when she  calls them two twelfths the two twelfths are actually just two white  rods put together to equal a red so it should be really its really one  sixth	Because two whites two whites	4.0
She says one white is a twelfth and then if you put it together  with another one twelfth shes saying you get two twelfths	And its one sixth its one sixth	1.0
Is that what you are saying	Yeah	0.0
All those things are they true	Yeah	0.0
Yeah	But I dont really think you could call call them two twelfths  because two twelfths equal exactly to the same size as one sixth	4.0
But I dont really think you could call call them two twelfths  because two twelfths equal exactly to the same size as one sixth	Well if you want to you could call them I guess	0.0
Well if you want to you could call them I guess	But I think it  would be easier just to call them one sixth then wouldnt want to  exactly call them one twelfth and another twelfth	4.0
But I think it  would be easier just to call them one sixth then wouldnt want to  exactly call them one twelfth and another twelfth	Id just call them  one sixth	4.0
Id just call them  one sixth	Therefore I think you just really call them one sixth	4.0
Therefore I think you just really call them one sixth	Well maybe you can call them	0.0
Well maybe you can call them	Well you can call them if you want to but	0.0
Well we have different number names for these rods	they re not different	0.0
they re not different	Theres just half of one theres just half of one	3.0
So youre saying that one half of the one sixth is another way of  saying one twelfth	Theyre just two answers	0.0
Isnt that  what you said	What Erik said is that two whites equal one red so it would be the  exact same thing	4.0
So are all of these true  statements	Yeah	0.0
So  Meredith is still saying that I dont disagree with you when I say  that its a red bigger in this model  right	Um hmm	0.0
would you read it	Situation 5 is  This test was very difficult for most people	0.0
Ok and can you tell us why your group feels good about that match	Our group felt that it was pretty good match because when it says its most difficult and then we checked it the highest score is mostly in the lowest score while little bit to no people got the highest score of 90 or 100 percent	4.0
I cant see it	According to me its approximately 42 people got a 20 to 30 percent score	3.0
Fabulous can you read for us please	Some people got low scores but most people but some people could do everything	3.0
Could do	Everything	0.0
What made you guys write that for histogram F	Uh like like some people got like low scores and like there was like some people got like everything right	3.0
How many people got everything right	Like one or two	3.0
do you want to rebuttal	What I was thinking that it doesnt work because its little to no people not because some people might be like more than because its real   its more real to have 100 percent on histogram F while the lowest scores from 20 to 30 theres a bunch of people that has a low score	4.0
Um  do you want to rebut him	I think that	0.0
Even though  is up here	I think that the situation you gave fits more to histogram A because um histogram A shows no people getting scores of 70 to 80 or higher and so that means that everybody got a very low sco or a low score whereas in um histogram F a few people got a score that was 70 to 80 80 to 90 90 to 100	4.0
So are you saying that your group took s group number 5 situation and put it with A	Yes	0.0
If youre a black card Id like for you to share first	12 so yeah okay	3.0
12 so yeah okay	This ones wrong and I think	3.0
This ones wrong and I think	and the rest make sense	3.0
and the rest make sense	this ones wrong but these two make sense	3.0
this ones wrong but these two make sense	So then does that make sense	3.0
So then does that make sense	Because 18 18 18 18 18	4.0
Because 18 18 18 18 18	And this one makes sense because it says 3 dollars per month so then thered be 369121518 21 24	4.0
And this one makes sense because it says 3 dollars per month so then thered be 369121518 21 24	Then the Online Flix is wrong because its supposed to be 12	4.0
Then the Online Flix is wrong because its supposed to be 12	Yeah its supposed to be 12 plus 1 for 1 rental	4.0
Yeah its supposed to be 12 plus 1 for 1 rental	So 12 13 14 15 16	0.0
So 12 13 14 15 16	And then right here it says 12 25 38	4.0
Lets start with Kyle	I think it does make mathematical sense because with 12 if you add 13 to that its 25 and if you add 14 to 25 its 38 and 38 plus 15 is 51 and so on	4.0
Um Debra	It does well it does make mathematical sense but it doesnt follow the plan	3.0
So could you tell me which one does make mathematical sense and does follow the plan and which one or ones dont follow	Movie Busters and Mail Flix follow the plan and Online Flix doesnt	3.0
Would you like to add to that Victoria	Um actually theres a problem with it  cause it says number of movies zero	4.0
Um actually theres a problem with it  cause it says number of movies zero	And it says Online Flix and Mail Flix 18 and 12	4.0
And it says Online Flix and Mail Flix 18 and 12	But youre really not paying for anything right now so why should you pay that much now without without any movies right now	4.0
Or about 0	About the 0	3.0
Okay do you want to talk about 0 then	Yeah	0.0
Yeah	I think that it does make sense because the 12 the Online Flix you have to pay 12 per month and so that would be you would havent rent no movies but you still have to pay for the month on each one	4.0
Okay so if we rented 0 movies from Online Flix youre saying we would still have to pay the 12	Yeah	0.0
Okay even though I dont have anything	Yeah	0.0
Jocelyn	Um it doesnt really make sense because like Movie Busters see how all the way down it adds 3	4.0
Uh huh	Well on Online Flix when we were having our partner talking we were looking at the 0 how it added 3 and how 18 added nothing it stayed	4.0
Well on Online Flix when we were having our partner talking we were looking at the 0 how it added 3 and how 18 added nothing it stayed	Well 12 plus 12 isnt 25	4.0
Well 12 plus 12 isnt 25	And so on	4.0
Hailey	Well like for Online Flix for each movie like 13 and 14 and so on and so on like Online Flix it says uh those like other numbers	4.0
Well like for Online Flix for each movie like 13 and 14 and so on and so on like Online Flix it says uh those like other numbers	but if you take 13 and add it to 12 you get 25	4.0
but if you take 13 and add it to 12 you get 25	And then from 25 if you add like 13 more dont you get 38	4.0
Yes	And it keeps going	3.0
So then were adding by what here Hailey	13	3.0
Danielle	12 plus 12 equals 24 but if you buy one movie it equals 25	4.0
So the two flat fees of 12 plus the 1 makes the 25	Yes	0.0
Jessica	I think it does make mathematical sense because they all match the plan	4.0
Amir	I think it does make mathematical sense but I think theres something that I dont see really correctly	4.0
I think it does make mathematical sense but I think theres something that I dont see really correctly	So 12 plus 12 equals 24	4.0
So 12 plus 12 equals 24	But why are we adding 1 to it	2.0
Lisa	Because you pay 1 per movie	4.0
Go ahead and talk to your shoulder partner please for a quick moment	Ya vi que este no no esta  bien	3.0
Ya vi que este no no esta  bien	No esta  bien	3.0
No esta  bien	Porque este esta  cobrando mas que tiene que cobrar	4.0
Porque este esta  cobrando mas que tiene que cobrar	Si no fueran aqui fueron 24	4.0
Si no fueran aqui fueron 24	Oh si	1.0
Katie	Because its showing you that with with On with Online Flix and Mail Flix you still have to pay the monthly fee even though youre not buying any movies	4.0
Hailey	Like even though like it says for either one of them that you have to pay a fee and youre still paying it but on Movie Busters if you dont get anything youre not gonna have a fee to pay	4.0
Okay	So it goes by what you rent	3.0
Jessica	You would get I think I would get rid of the 0	4.0
You would get I think I would get rid of the 0	Cause its kind of confusing	4.0
Cause its kind of confusing	And then start off with 13	4.0
And then start off with 13	Instead of 12	4.0
Instead of 12	So they dont think that 12 plus 12 is 24	4.0
So they dont think that 12 plus 12 is 24	So I would get rid of the 0	4.0
Kyle	You could tell them that you dont have to pay the first fee for every rental you just have to pay 1	3.0
Okay so if you were to help them figure out that this was not 25 what would you tell them	Uh that you dont pay the flat fee for every rental you just pay 1	3.0
So what would it cost for 1 movie from Online Flix	13	3.0
And how did you get your 13	Because 12 plus 1 is 13	4.0
Erin	Well because then you could compare the prices and eventually meet up with one of them for the prices which is 18	4.0
Charles	Well if like out of those they can be even Id first look at Mail Flix because if thats always 18 that means that youre gonna need to look for 18 matching so Id go down to the other ones and look  til they had 18	4.0
So Jessica are you gonna make any changes to Student As work	Im gonna shift all the numbers downwards so I can get rid of the 0	4.0
So we want to	Isnt that kind of like a ripoff	0.0
Amir what changes have you made for Student A	No changes	3.0
Why not	Cause I think they should keep the 0  cause maybe the Student A would want to go to rent a DVD and they would find out that every month a DVD would be 12 um dollars for the Online Flix and	4.0
So if you rent 1 movie how much money is that gonna cost you	Uh 25	3.0
Uh 25	Oh	0.0
Oh	But if you wanna rent a movie and one month	0.0
So how much will 1 movie cost you all together	Um 25 bucks	3.0
So whats that going to be	I dont understand	2.0
So you pay 12 plus the 1	Oh	0.0
Oh	13	3.0
So for then 2 DVDs how much are you gonna spend	Umfor 2 DVDs 13	3.0
So thats 12 plus 2	12 plus 2 equals 14	4.0
And what about 3 DVDs	12 plus 3	3.0
Which would be how much money	Uh 16 I mean 15 dollars	3.0
So do you need to make some changes	Yes I do	0.0
Task 1 is 15  210	It says is one fifth equal to two tenths	0.0
What do  you remember about that Meredith	Um	0.0
You want to tell us	We had used our Cuisenaire Rods	0.0
Because Dr Davis also wasn t here	Say this is called one	4.0
Say this is called one	Then you   took this	4.0
Then you   took this	This would be half of  the orange rod    and this would be um	4.0
This would be half of  the orange rod    and this would be um	called the one   and these would be  one  and these would be called the two  halves	4.0
Ok so what name would you give the yellow rod	A half	3.0
Ok	And this would be called one	3.0
Is one fifth equal to two tenths	Um	0.0
Um	Two tenths	3.0
Two tenths	You call this two tenth	3.0
You call this two tenth	This is usually a tenth   and then you put this  up and you call this two tenth  and then you take this and you put it  up to them   and it s  five they equal up to it	4.0
But maybe if you can tell the class what your thinking let s  see what they think	Well if you have the orange rod and you put it up to the yellow rod  the yellow rods it s two halves and that would be called two tenths	4.0
Well if you have the orange rod and you put it up to the yellow rod  the yellow rods it s two halves and that would be called two tenths	Uh yeah	0.0
Uh yeah	Two tenths  wait two tenths would be	4.0
Two tenths  wait two tenths would be	two ones     That is what two tenths  would be  because these ones are tenths	4.0
Why don t you tell the class and	These ones are tenths   cause this orange  rod is one and when you put the ones up to it there s ten of them and  two of them would equal two tenths	4.0
These ones are tenths   cause this orange  rod is one and when you put the ones up to it there s ten of them and  two of them would equal two tenths	And this  is one fifth to the orange rod	4.0
And this  is one fifth to the orange rod	And if you take one of them  it s equal to two tenths	4.0
So what is your conclusion if I ask you the question is two tenths  equal to one fifth	Yes	0.0
Do you agree or are you not sure	I agree	1.0
Ok you want to explain why you agree	Well I agree because it s just like having one of these reds being a  whole and one of these  being a half	4.0
Well I agree because it s just like having one of these reds being a  whole and one of these  being a half	So it s just like  saying it s just like saying two halves equal a whole	4.0
So it s just like  saying it s just like saying two halves equal a whole	It s the same  as being two tenths equal one fifth	4.0
Erik do you want to do  you want to say what you think out to Brian	Well I kind of agree with Meredith because if you take the orange  rod it takes ten of the white rods to equal up to the orange and five  of the red ones	4.0
Well I kind of agree with Meredith because if you take the orange  rod it takes ten of the white rods to equal up to the orange and five  of the red ones	Then if you take two of these   which is two tenths and this  is one fifth	4.0
Then if you take two of these   which is two tenths and this  is one fifth	Because well it s  it takes five of them to equal up to the orange rod and and if you put  two tenths next to it they equal up to each other and you ll have one  fifth and one tenth and two tenths together and they both equal up to  the same amount	4.0
Because well it s  it takes five of them to equal up to the orange rod and and if you put  two tenths next to it they equal up to each other and you ll have one  fifth and one tenth and two tenths together and they both equal up to  the same amount	Like what I said kind of	1.0
Ok Jackie	Um well we thought it was six twelfths because	3.0
Jackie I am sorry I cant hear its so loud here	Um we thought is was um six twelfths because there are um twelve  pieces in all and she got six and six makes half	4.0
What do you think	I have another one	0.0
That another number name  you said Jackie was	Six	3.0
Danielle	Um I thought um it would be um two fourths	3.0
How did you think that	Because if she got a half then the top two rows um is a half and  then that s two fourths	4.0
Danielle thinks  that another number name for how much of the candy bar we gave  Dr Martino is two fourths so we re interested in knowing how  Danielle was thinking about that	Well this row and this row is a half   and then these are two fourths	3.0
Can you help the class understand that	Because there s four rows	4.0
Brian	I just found out another way that a half can be	0.0
Brian	If I agree	1.0
If I agree	Ok	0.0
Ok	Well I agree on two fourths because there s because three  times because four times three equals twelve and if you split it in  half there d be three fourths	4.0
Well I agree on two fourths because there s because three  times because four times three equals twelve and if you split it in  half there d be three fourths	Well  well I agree because there are four thirds on there but but when  there s a half there are only there s three fourths instead of four  thirds	4.0
Where are your four thirds	Well well well when you said   to split it in half   like that there are only two fourths left over  yeah there are only two fourths when it s a whole there are four  thirds   I can t explain it too well	3.0
Danielle do you want to go up there and	No I just have something to say	0.0
No I just have something to say	Cause If there s four fourths  um and half of four is two so two fourths would be a half	4.0
Cause If there s four fourths  um and half of four is two so two fourths would be a half	But I thought about it the other way around	1.0
What do you mean by the other way around um Brian	Well instead of well she went two fourths like going across like  cause those are fourths and that s a fourth and there are two of them	4.0
Well instead of well she went two fourths like going across like  cause those are fourths and that s a fourth and there are two of them	I have another way	1.0
I have another way	It s I have three I think three sixths	3.0
Three sixths	Because well because a whole there s a whole if there s  yeah it s three sixths	4.0
Because well because a whole there s a whole if there s  yeah it s three sixths	Because  there are six of them there there there I found groups of sixths	4.0
Because  there are six of them there there there I found groups of sixths	There s one sixth another sixth another sixth another sixth another  sixth another sixth and if you split them in half there s three of  them on top	4.0
So he is saying that  these two little pieces of candy and these two and these two and  these two and these two and these two I don t know if that is what  you said Brian but something like that	Yeah	0.0
Brian	We did two fourths	3.0
Nice and loud	We did two fourths	3.0
Jessica	No I was going to say one half	3.0
Danielle	There are six twelfths	3.0
We said six twelfths two fourths we  said one half Brian	Three sixths	3.0
The two whites together	Two tenths	3.0
Michael	One fifth	3.0
And what other number name can I  call the red one	Two tenths	3.0
Michael	We were working on the candy bar problem	0.0
We were working on the candy bar problem	Like with like which  is bigger a half or one third and we were using candy bars to show  that	3.0
Andrew	Yeah we were working on we had to write about um and we had to  do an example on it and um to see if which is bigger one half or one  third	3.0
Laura	One half	3.0
And see if you can convince us of  your result	Well um one third would be just this piece here  and one half of that would be  and one half would be this  and one third  is bigger than one half cause this  would be one third and  then this bigger piece  would be one half of that	4.0
Well um one third would be just this piece here  and one half of that would be  and one half would be this  and one third  is bigger than one half cause this  would be one third and  then this bigger piece  would be one half of that	And	0.0
Can you tell me what number name you re calling the orange and the  red rod	Um one	3.0
Can you say that again  what number names gave to each of those rods so I can hear from  back here	You say	0.0
You say	Um this would be this we re  counting this as one whole  and I think this   has two and this  has wait um	3.0
Um this would be this we re  counting this as one whole  and I think this   has two and this  has wait um	Um   um I can t we called it yeah  I think  this one was one	3.0
Um   um I can t we called it yeah  I think  this one was one	That was one third	1.0
That was one third	this was one third and this was one half	1.0
this was one third and this was one half	One half	1.0
Audra what do  you think of what  the two young ladies built up there	I agree because	1.0
Want to speak to the class	I agree because if you saw what the um half  was here and then you saw what no what the half was here and then  you saw what the third was there and you saw that the half was  bigger than the third	4.0
Ok did you figure out  how much bigger	It s two two	3.0
It s two two	It s a red bigger but	3.0
Ok you re saying it s a red rod bigger or two white ones but that s  what I see you have built there but I would like you to tell me what  number name you have for how much bigger it is	Um wait it s one third bigger I think	3.0
Um wait it s one third bigger I think	I think it s one third bigger too because if you put the red to the  green	1.0
I think it s one third bigger too because if you put the red to the  green	You d see that there s three	1.0
You d see that there s three	You need three and if you put the purple one to it also and then it  takes one third of them	4.0
What do you think do you agree with this	Um yes	0.0
You agree with them	Well if you have um a red if you hold um well if you have um  well we used these and we went like and then we like held reds up  and we showed that um that um one half is bigger by because this  part is smaller and this is supposed to be one one third so that s  how we did it	4.0
Do you agree with  them	Not really	1.0
Oh hmm	If you take this and it has three thirds	3.0
And you re calling this one third	And we re calling this	0.0
And you re calling this one third	One third	0.0
